,Eta minus,Eta plus,Hidden layer,Mean error,Std error,Mean accuracy,Std accuracy,Elapsed time
0,0.50000,1.20000,32,3.50795,1.38298,86.93%,1.17%,0.15914
1,0.50000,1.20000,64,6.60420,2.88122,88.45%,0.94%,0.17868
2,0.50000,1.20000,128,11.24878,1.72766,90.34%,0.98%,0.35908
3,0.50000,1.30000,32,9.34357,6.78640,87.19%,1.09%,0.17314
4,0.50000,1.30000,64,16.70726,4.07364,89.97%,0.82%,0.26087
5,0.50000,1.30000,128,25.31499,7.79747,90.59%,1.05%,0.39481
6,0.50000,1.50000,32,151.61578,35.12149,71.18%,18.23%,0.22772
7,0.50000,1.50000,64,127.95712,36.96545,81.94%,5.22%,0.40758
8,0.50000,1.50000,128,96.42400,25.64346,86.40%,3.62%,0.91724
9,0.70000,1.20000,32,8.04148,1.91988,89.66%,0.93%,0.18079
10,0.70000,1.20000,64,14.70169,3.49692,91.58%,0.64%,0.23096
11,0.70000,1.20000,128,20.78389,2.07093,92.50%,0.61%,0.38584
12,0.70000,1.30000,32,123.68096,37.16580,65.10%,22.59%,0.17883
13,0.70000,1.30000,64,148.23136,43.90035,75.51%,15.34%,0.40700
14,0.70000,1.30000,128,133.46216,43.92417,81.18%,6.20%,0.72081
15,0.70000,1.50000,32,96.88507,50.19836,79.62%,20.58%,0.32075
16,0.70000,1.50000,64,54.70817,9.72367,92.28%,1.37%,0.65812
17,0.70000,1.50000,128,45.88648,6.58758,93.53%,0.93%,1.02955
18,0.90000,1.20000,32,93.83661,36.74053,63.48%,27.68%,0.22758
19,0.90000,1.20000,64,85.84737,66.22457,83.58%,18.44%,0.48415